model,num_of_experiments,time_out,time_out_with_override,num_of_solved,num_of_steps,num_of_solved_with_override,num_of_steps_with_override,num_of_overrides,num_of_collisions,num_of_collisions_with_override,unknown_termination,unknown_termination_with_override,avg_num_steps_to_solve,avg_num_steps_to_solve_with_override
backup_full_name,100,0,0,0,0,0,0,0,0,0,0,0,0,0
STD_id673_srate04.h5,100,3,1,6,2409,9,1897,1,85,84,6,6,401.5,210.77777777777777
STD_id673_srate06.h5,100,38,85,11,7551,1,2,0,47,13,4,1,686.4545454545455,2.0
STD_id673_srate11.h5,100,29,48,39,27980,35,17751,1659,30,12,2,5,717.4358974358975,507.1714285714286
STD_id673_srate16.h5,100,9,6,58,30999,70,39702,401,26,15,7,9,534.4655172413793,567.1714285714286
STD_id673_srate23.h5,100,5,1,59,21141,78,29327,629,33,15,3,6,358.3220338983051,375.9871794871795
STD_id673_srate30.h5,100,2,0,70,22981,83,24711,1117,25,14,3,3,328.3,297.72289156626505
STD_id673_srate45.h5,100,0,0,65,14608,86,16746,1585,34,8,1,6,224.73846153846154,194.72093023255815
STD_id673_srate48.h5,100,0,0,74,14448,88,15359,1709,23,8,3,4,195.24324324324326,174.5340909090909
STD_id673_srate62.h5,100,0,0,82,19491,86,13987,1482,15,8,3,6,237.6951219512195,162.63953488372093
STD_id673_srate63.h5,100,0,0,74,14767,90,12792,1744,22,7,4,3,199.55405405405406,142.13333333333333
STD_id673_srate70.h5,100,0,0,82,14701,92,13259,2237,14,6,4,2,179.28048780487805,144.1195652173913
STD_id673_srate75.h5,100,0,0,86,16854,91,10965,1791,9,7,5,2,195.97674418604652,120.49450549450549
STD_id673_srate76.h5,100,0,1,87,13217,88,9462,1814,12,4,1,7,151.91954022988506,107.52272727272727
STD_id673_srate78.h5,100,1,1,85,12883,95,11236,1868,9,3,5,1,151.56470588235294,118.27368421052631
STD_id673_srate79.h5,100,0,1,79,12170,85,11059,2070,15,4,6,10,154.0506329113924,130.10588235294117
STD_id673_srate82.h5,100,0,0,81,11780,83,10185,1885,11,14,8,3,145.4320987654321,122.71084337349397
STD_id673_srate84.h5,100,1,0,90,14787,92,9613,1747,5,7,4,1,164.3,104.48913043478261
STD_id673_srate88.h5,100,0,1,89,13442,91,10701,1946,9,4,2,4,151.03370786516854,117.5934065934066
STD_id673_srate91.h5,100,0,0,88,10265,93,8929,1423,7,5,5,2,116.64772727272727,96.01075268817205
STD_id673_srate96.h5,100,0,0,90,8928,91,9633,1124,5,5,5,4,99.2,105.85714285714286
